0x000	X2EnterWorldPacket
0x001	CSLeaveWorldPacket
0x002	CSCancelLeaveWorldPacket
0x003	ReloadFactionRelationsPacket
0x004	CSCreateExpeditionPacket
0x005	CSChangeExpeditionSponsorPacket
0x006	CSChangeExpeditionRolePolicyPacket
0x007	CSChangeExpeditionMemberRolePacket
0x008	CSChangeExpeditionOwnerPacket
0x009	CSRenameExpeditionPacket
0x00A	
0x00B	CSDismissExpeditionPacket
0x00C	CSInviteToExpeditionPacket
0x00D	CSReplyExpeditionInvitationPacket
0x00E	CSLeaveExpeditionPacket
0x00F	CSKickFromExpeditionPacket
0x010	
0x011	CSUpdateDominionTaxRatePacket
0x012	CSUpdateNationalTaxRatePacket
0x013	
0x014	CSFactionImmigrationInvitePacket
0x015	CSFactionImmigrationInviteReplyPacket
0x016	CSFactionImmigrateToOriginPacket
0x017	CSFactionKickToOriginPacket
0x018	CSFactionDeclareHostilePacket
0x019	CSFamilyInviteMemberPacket
0x01A	CSFamilyReplyInvitationPacket
0x01B	CSFamilyLeavePacket
0x01C	CSFamilyKickPacket
0x01D	CSFamilyChangeTitlePacket
0x01E	CSFamilyChangeOwnerPacket
0x01F	ListCharacterPacket
0x020	CSRefreshInCharacterListPacket
0x021	CreateCharacterPacket
0x022	CSEditCharacterPacket
0x023	DeleteCharacterPacket
0x024	SelectCharacterPacket
0x025	SpawnCharacterPacket
0x026	CancelCharacterDeletePacket
0x027	NotifyInGamePacket
0x028	NotifyInGameCompletedPacket
0x029	CSEditorGameModePacket
0x02A	ChangeTargetPacket
0x02B	CSRequestCharBriefPacket
0x02C	CSSpawnSlavePacket
0x02D	CSDespawnSlavePacket
0x02E	CSDestroySlavePacket
0x02F	CSBindSlavePacket
0x030	CSDiscardSlavePacket
0x031	CSChangeSlaveTargetPacket
0x032	CSChangeSlaveNamePacket
0x033	CSRepairSlaveItemsPacket
0x034	CSTurretStatePacket
0x035	CSChangeSlaveEquipmentPacket
0x036	CSDestroyItemPacket
0x037	CSSplitBagItemPacket
0x038	CSSwapItemsPacket
0x039	
0x03A	CSRepairSingleEquipmentPacket
0x03B	CSRepairAllEquipmentsPacket
0x03C	
0x03D	CSSplitCofferItemPacket
0x03E	CSSwapCofferItemsPacket
0x03F	CSExpandSlotsPacket
0x040	CSSellBackpackGoodsPacket
0x041	CSSpecialtyRatioPacket
0x042	CSListSpecialtyGoodsPacket
0x043	CSBuySpecialtyItemPacket
0x044	CSSpecialtyRecordLoadPacket
0x045	CSDepositMoneyPacket
0x046	CSWithdrawMoneyPacket
0x047	CSConvertItemLookPacket
0x048	CSItemSecurePacket
0x049	CSItemUnsecurePacket
0x04A	CSEquipmentsSecurePacket
0x04B	CSEquipmentsUnsecurePacket
0x04C	CSResurrectCharacterPacket
0x04D	CSSetForceAttackPacket
0x04E	CSChallengeDuelPacket
0x04F	CSStartDuelPacket
0x050	StartSkillPacket
0x051	
0x052	StopCastingPacket
