0x000	struct X2EnterWorldResponsePacket
0x001	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCReconnectAuthPacket>
0x002	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCPrepareLeaveWorldPacket>
0x003	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCLeaveWorldGrantedPacket>
0x004	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCLeaveWorldCanceledPacket>
0x005	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCInitialConfigPacket>
0x006	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,FactionListPacket>
0x007	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,FactionRelationListPacket>
0x008	 NoPck
0x009	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCExpeditionRolePolicyListPacket>
0x00A	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCExpeditionRolePolicyChangedPacket>
0x00B	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCExpeditionRoleChangedPacket>
0x00C	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCExpeditionOwnerChangedPacket>
0x00D	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCExpeditionShowRenameUIPacket>
0x00E	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCFactionRenamedPacket>
0x00F	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCFactionRetryRenamePacket>
0x010	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCFactionCreatedPacket>
0x011	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCExpeditionSponsorChangedPacket>
0x012	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCExpeditionDismissedPacket>
0x013	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCExpeditionMemberListPacket>
0x014	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCExpeditionMemberStatusChangedPacket>
0x015	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCFactionOwnerChangedPacket>
0x016	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCFactionSetRelationStatePacket>
0x017	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCExpeditionInvitationPacket>
0x018	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,UnitFactionChangedPacket>
0x019	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,UnitExpeditionChangedPacket>
0x01A	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCDominionDataPacket>
0x01B	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCDominionDeletedPacket>
0x01C	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCDominionOwnerChangedPacket>
0x01D	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCDominionTaxRatePacket>
0x01E	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCNationalTaxRatePacket>
0x01F	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCNationalMonumentChangedPacket>
0x020	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCDominionTaxBalancedPacket>
0x021	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCFactionIndependencePacket>
0x022	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCFactionImmigrateInvitePacket>
0x023	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCFactionImmigrateInviteResultPacket>
0x024	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCFactionImmigrateToOriginResultPacket>
0x025	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCFactionKickToOriginResultPacket>
0x026	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCFactionDeclareHostileResultPacket>
0x027	PacketFunctor<ClientPlayer,enum  ServerToClientPacketType,SCFactionRelationExpiredPacket>
